#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    estCostSingle       0.0   0.0  2774108.5     4403.3    0.00    0.0
    estCostSingle       0.0   0.0   510452.2      810.2    0.00    0.0
    estCostSingle       0.0   0.0  3410936.8     5414.2    0.00    0.0
    estCostSingle       0.0   0.0   372054.6      590.6    0.00    0.0
    estCostSingle       0.0   0.0   523821.4      831.5    0.00    0.0
    estCostSingle       0.0   0.0   527461.4      837.2    0.00    0.0
    estCostSingle       0.0   0.0  3345725.2     5310.7    0.00    0.0
    estCostSingle       0.0   0.0   543243.9      862.3    0.00    0.0
    estCostSingle       0.0   0.0   192725.4      305.9    0.00  478.0
    estCostSingle       0.0   0.0   498417.7      791.1    0.00    0.0
    estCostSingle       0.0   0.0   561147.2      890.7    0.00    0.0
    estCostSingle       0.0   0.0   566903.7      899.8    0.00    0.0
    estCostCoop         0.0   0.0   380159.3     1206.9    0.00    0.0
    estCostCoop         0.0   0.0   187466.5      595.1    0.00    0.0
    estCostCoop         0.0   0.0   351562.5     1116.1    0.00    0.0
    estCostCoop         0.0   0.0   201890.7      640.9    0.00    0.0
    estCostCoop         0.0   0.0   365705.0     1161.0    0.00    0.0
    estCostCoop         0.0   0.0   303205.3      962.6    0.00    0.0
    estCostCoop         0.0   0.0   312717.2      992.8    0.00  775.6
    estCostCoop         0.0   0.0   345054.2     1095.4    0.00  855.8
    estCostCoop         0.0   0.0   329188.0     1045.0    0.00    0.0
    estCostCoop         0.0   0.0   273925.0      869.6    0.00    0.0
    estCostCoop         0.0   0.0   571999.2     1815.9    0.00    0.0
    estCostCoop         0.0   0.0   382235.2     1213.4    0.00    0.0
    estCostCoop         0.0   0.0   351209.8     1115.0    0.00    0.0
    estCostCoop         0.0   0.0   384357.3     1220.2    0.00    0.0
  estCostCoop           9.7   9.7      360.6     1544.3    4.28   97.5
  encodeCTU            50.0  50.0       70.1     5063.4   72.21   91.8
  filterCTURow          7.3   7.3      479.3     1749.1    3.65   86.8
  prelookahead          0.2   0.2    19136.8      243.0    0.01   47.5
  estCostSingle         1.1   1.1     3231.3      179.5    0.06   96.2
<4>                    85.6  47.5       41.0     1977.8   48.24   89.1
  prelookahead          0.3   0.3    13290.9      253.2    0.02   33.0
  estCostSingle         2.9   2.9     1212.5      257.9    0.21   96.2
  estCostCoop           5.3   5.3      668.1     1609.7    2.41   94.4
  encodeCTU            31.8  31.8      110.2     4776.6   43.36   84.4
  filterCTURow          4.5   4.5      774.4     1671.8    2.16  121.0
  slicetypeDecideEV    40.8   2.7       86.0        7.4    0.09   88.3
    prelookahead        1.3   1.3     2712.4      232.5    0.09   80.7
    prelookahead        1.0   1.0     3478.9      287.2    0.08  120.8
    estCostSingle       0.1   0.1    38958.9      123.7    0.00    0.0
    estCostSingle       0.8   0.8     4330.9      123.7    0.03   85.9
    prelookahead        0.7   0.7     4914.5      280.8    0.06   73.1
    estCostSingle       1.1   1.1     3081.4      112.5    0.04   84.1
    prelookahead        0.6   0.6     5923.4      291.5    0.05  102.8
    estCostSingle       1.1   1.1     3183.2      131.4    0.04   94.7
    prelookahead        0.5   0.5     6633.0      284.3    0.04   98.7
    estCostCoop         0.0   0.0  1967520.4     3123.0    0.00    0.0
    estCostSingle       2.0   2.0     1764.8      145.7    0.08   87.5
    estCostCoop         0.0   0.0   771586.0     2449.5    0.00    0.0
    estCostSingle       1.7   1.7     2004.9      165.5    0.08  109.4
    estCostCoop         0.0   0.0  1890756.2     3001.2    0.00    0.0
    estCostSingle       2.5   2.5     1430.8      115.8    0.08   74.5
    estCostCoop         0.0   0.0   481136.4     1527.4    0.00    0.0
    estCostSingle       1.9   1.9     1838.0      145.9    0.08   95.7
    estCostCoop         0.0   0.0   262543.8     1250.2    0.00    0.0
    estCostSingle       1.6   1.6     2240.9      177.8    0.08   94.5
    estCostCoop         0.0   0.0   332699.6     1056.2    0.00    0.0
    estCostSingle       2.1   2.1     1691.0      134.2    0.08   71.3
    estCostCoop         0.0   0.0   260642.9      827.4    0.00    0.0
    estCostSingle       2.1   2.1     1692.6      134.3    0.08   92.4
    estCostCoop         0.0   0.0   260373.6      826.6    0.00    0.0
    estCostSingle       1.7   1.7     2117.1      168.0    0.08   78.8
    estCostCoop         0.0   0.0   330951.9     1050.6    0.00    0.0
    estCostSingle       1.3   1.3     2601.9      206.5    0.08  103.2
    estCostCoop         0.0   0.0   339641.0     1078.2    0.00  842.4
    estCostSingle       1.2   1.2     2944.4      233.7    0.08   80.3
    estCostCoop         0.0   0.0   269461.1      855.4    0.00    0.0
    estCostSingle       1.6   1.6     2188.5      173.7    0.08   81.4
    estCostCoop         0.0   0.0   361861.0     1148.8    0.00    0.0
    estCostSingle       1.0   1.0     3512.5      278.8    0.08  122.0
    estCostCoop         0.0   0.0  1019582.5     3236.8    0.00 2528.7
    estCostSingle       0.9   0.9     4014.1      305.8    0.08  119.5
    estCostCoop         0.0   0.0   240256.3     1525.4    0.01    0.0
    estCostSingle       0.7   0.7     4778.9      364.1    0.08   83.0
    estCostCoop         0.0   0.0   256180.9     1626.5    0.01    0.0
    estCostSingle       0.6   0.6     5403.2      385.9    0.07   93.8
    estCostCoop         0.0   0.0   112852.7     1253.9    0.01    0.0
    estCostSingle       0.6   0.6     5752.1      410.9    0.07  128.4
    estCostCoop         0.0   0.0    99303.3     1103.4    0.01    0.0
    estCostSingle       0.6   0.6     6283.1      428.8    0.07   93.5
    estCostCoop         0.0   0.0   102786.7     1468.4    0.01    0.0
    estCostCoop         0.1   0.1    30658.0     1021.9    0.03   76.0
    estCostSingle       0.4   0.4     8574.5      421.9    0.05   21.3
    estCostCoop         0.1   0.1    30376.2     1253.6    0.04  150.7
    estCostSingle       0.3   0.3    10308.7      425.4    0.04  127.8
    estCostCoop         0.1   0.1    44737.3     1846.3    0.04    0.0
    estCostSingle       0.4   0.4     9744.6      402.2    0.04  145.0
    estCostCoop         0.3   0.3    12968.0     1070.4    0.08   64.3
    estCostCoop         0.2   0.2    17591.0     1452.0    0.08  130.9
    estCostCoop         0.2   0.2    22092.9     1823.5    0.08   54.8
    estCostCoop         0.2   0.2    16316.7     1346.8    0.08  161.9
    estCostCoop         0.2   0.2    20557.1     1696.8    0.08   51.0
    estCostCoop         0.2   0.2    16704.6     1378.8    0.08    0.0
    estCostCoop         0.1   0.1    24057.3     1985.7    0.08  119.3
    estCostCoop         0.2   0.2    15135.2     1249.3    0.08  187.7
    estCostCoop         0.1   0.1    28412.0     2345.1    0.08  140.9
    estCostCoop         0.1   0.1    26670.1     2201.3    0.08  198.4
    estCostCoop         0.2   0.2    20006.4     1651.3    0.08  148.9
    estCostCoop         0.1   0.1    30055.2     2480.8    0.08    0.0
    estCostCoop         0.1   0.1    24700.0     2038.7    0.08  183.8
    estCostCoop         0.2   0.2    21587.8     1781.8    0.08   53.5
    estCostCoop         0.2   0.2    20863.3     1688.9    0.08  155.2
    estCostCoop         0.2   0.2    16325.5     1321.6    0.08  162.0
    estCostCoop         0.2   0.2    16138.3     1255.2    0.08  120.1
    estCostCoop         0.2   0.2    15905.0     1186.6    0.07  118.3
    estCostCoop         0.2   0.2    18068.8     1348.0    0.07   44.8
    estCostCoop         0.2   0.2    15649.3     1167.5    0.07    0.0
    estCostCoop         0.2   0.2    15386.8     1147.9    0.07  190.8
    estCostCoop         0.1   0.1    24654.1     1839.3    0.07   61.1
    estCostCoop         0.2   0.2    22931.6     1710.8    0.07  113.7
    estCostCoop         0.1   0.1    24023.3     1334.6    0.06    0.0
    estCostCoop         0.1   0.1    32238.6     1637.5    0.05    0.0
    estCostCoop         0.1   0.1    43601.6     2007.1    0.05    0.0
    estCostCoop         0.0   0.0    88842.5     1974.3    0.02    0.0
    estCostCoop         0.0   0.0   209546.0     2660.9    0.01    0.0
    estCostCoop         0.0   0.0   456786.6     3625.3    0.01    0.0
    estCostCoop         0.0   0.0   365535.3     2320.9    0.01    0.0
    estCostCoop         0.0   0.0   378583.0     2403.7    0.01  938.9
    estCostCoop         0.0   0.0   350350.4     2224.4    0.01    0.0
    estCostCoop         0.0   0.0   778258.2     3706.0    0.00    0.0
    estCostCoop         0.0   0.0   701637.2     3341.1    0.00    0.0
    estCostCoop         0.0   0.0   640504.3     3050.0    0.00    0.0
    estCostCoop         0.0   0.0   784460.2     3735.5    0.00    0.0
    estCostCoop         0.0   0.0  1186217.4     3765.8    0.00    0.0
    estCostCoop         0.0   0.0   977653.7     3103.7    0.00    0.0
    estCostCoop         0.0   0.0   986533.1     3131.9    0.00    0.0
    estCostCoop         0.0   0.0  1217862.0     3866.2    0.00    0.0
    estCostCoop         0.0   0.0  1206665.5     3830.7    0.00 2992.7
    estCostCoop         0.0   0.0   944244.6     2997.6    0.00 2341.9
    estCostCoop         0.0   0.0   255962.3      812.6    0.00    0.0
    estCostCoop         0.0   0.0   279391.6      887.0    0.00    0.0
    estCostCoop         0.0   0.0   399492.7     1268.2    0.00    0.0
    estCostCoop         0.0   0.0   403148.4     1279.8    0.00    0.0
    estCostCoop         0.0   0.0   261400.0      829.8    0.00    0.0
    estCostCoop         0.0   0.0   291964.0      926.9    0.00    0.0
    estCostCoop         0.0   0.0   369523.2     1173.1    0.00    0.0
    estCostCoop         0.0   0.0   350916.3     1114.0    0.00    0.0
    estCostCoop         0.0   0.0   224391.0      712.4    0.00    0.0
    estCostCoop         0.0   0.0   358504.5     1138.1    0.00    0.0
    estCostCoop         0.0   0.0   110522.4      350.9    0.00    0.0
    estCostCoop         0.0   0.0   358484.1     1138.0    0.00    0.0
    estCostCoop         0.0   0.0   164473.7      522.1    0.00    0.0
    estCostCoop         0.0   0.0   356113.3     1130.5    0.00  883.2
    estCostCoop         0.0   0.0   332260.9     1054.8    0.00    0.0
    estCostCoop         0.0   0.0   347184.0     1102.2    0.00    0.0
